Result,Moves
0.0,b2b3 d5d4 c2c3 c6e4 d2d3 e4c6 b3b4 a5b4 d1b3 b4c3 b3e6 e5e4 e6d6 b5b4 d6e6 e4d3 e2d3 c6b5 e6b3 c5c4 b3b4 b6e6 e1d1 c4d3 c1d2 c3d2 b1d2 e6e2 d1c1 e2e5 c1b2 b5c6 a1c1 e5b5 b2a3 b5b4 a3b4 a6b6 c1c5 c6b5 c5b5 b6c6 d2c4 d3d2 b5c5 c6c5 b4c5 d2d1 c4d6 d4d3 d6b5 d3d2 b5d4 d1a4 d4c6 d2d1 c6b4 a4a3 c5b6 a3b4 b6a6 d1e2 a6b6 b4b6 a2a3 e2a6 a3a4 a6a4
1.0,b2b3 e5e4 e2e3 c5c4 c1b2 c4b3 c2b3 b5b4 b2d4 b6b5 a2a3 a5a4 d1c1 d6c4 b3c4 b5c4 c1c4 d5c4 a3b4 a6b5 d4c5 b5a6 b1c3 e6e5 e1d1 c6b5 d1c2 b5c6 c5d4 e5a5 b4a5 a6a5 a1b1 a4a3 b1b6 c6a4 c3a4 a5a4 d4c3 a3a2 c2b2 a2a1 b2a1 a4a3 b6b4 a3b4 c3b4 a6 b4c3
0.5,d2d3 e5e4 d3e4 b5b4 e4d5 e6e5 d5c6 b6c6 c2c3 c5c4 c3b4 a5b4 b2b3 e5a5 b3c4 d6c4 a2a3 b4a3 d1d3 c6b5 b1c3 b5c6 c1a3 c6e6 c3e4 e6d5 d3d5 a5d5 a3b4 a6b5 a1b1 b5a6 b4c3 c4e3 b1a1 a6b5 a1c1 e3c4 c3a1 b5b4 c1b1 b4a3 a1c3 a3a2 b1a1 a2b3 a1c1 c4e3 c1b1 b3c2 b1b2 c2c1 c3d2 c1b2 d2e3 b2c2 e3d2 d5d4 e2e3 d4e4 e1e2 e4e6 d2a5 c2b3 e2d3 e6d6 d3e2 b3c4 a5e1 d6a6 e1d2 a6a2 e3e4 a2d2 e2d2 c4d4 e4e5 d4e5 d2c3 e5d6 c3b4 d6c6 b4a5 c6d6 a5a6 d6c6 a6a5 c6d6 a5a6 d6c6 a6a5 c6d6 a5a6 d6c6 a6a5 c6d6 a5a6 d6c6 a6a5 c6d6
1.0,b1a3 e5e4 e2e3 d6c4 b2b3 c4a3 c1a3 d5d4 c2c3 b5b4 a3b2 b4c3 d2c3 d4e3 b2a3 b6b5 c3c4 b5b6 e1e2 a5a4 a1b1 b6a5 b3b4 c5b4 a3b4 a5e5 e2e3 c6b5 c4b5 e5b5 b4a3 b5c4 b1b4 c4c3 e3e2 c3d3 d1d3 e4d3 e2d3 a6a5 b4d4 e6e5 d3c4 e5e6 a3b4 a5a6 d4d6 e6d6 b4d6 a6b6 d6a3 b6a6 a3b2 a6b6 b2d4 b6c6 d4c5 a4a3 c5a3 c6b6 a3b4 b6a6 c4c5 a6b6 c5b6
0.0,b2b3 d5d4 c2c3 c6d5 d1c2 c5c4 d2d3 e5e4 d3c4 b5c4 c3d4 c4b3 a2b3 d6b5 c1d2 b5d4 c2c3 d4b3 d2e3 b6b5 a1a2 e6c6 c3b2 b5b4 e1d1 d5e6 a2a3 a5a4 e3d2 c6d6 b2a2 b3a5 d1c1 d6c6 c1d1 e6a2 d2b4 a2b1 b4d2 c6c4 d2e3 b1c2 d1c1 c2b3 c1d2 c4c2 d2d1 a5c4 a3b3 a4b3 e3c5 c2d2 d1c1 b3b2 c1b1 d2d1 b1c2 d1c1 c2b3 b2b1 b3a4 b1b5 c5b6 a6b6 a4a5 b6a5 e2e3 a5b6
0.0,c2c3 e5e4 d1b3 b5b4 b3c2 d5d4 b2b3 b4c3 d2c3 d4d3 c2d2 c5c4 d2e3 c6b5 b3b4 b6e3 c1e3 b5a4 b4a5 d6b5 b1d2 b5c3 d2c4 e6c6 c4b2 a4c2 e2d3 e4d3 a2a3 c6e6 e1d2 c3e4 d2c1 e6c6 b2d3 c2d3 c1d1 c6c2 e3d4 a6a5 a1c1 c2d2 d1e1 a5a4 d4e5 a4a3 e5c3 d2a2 c3d4 a3b3 d4e5 a2c2 c1a1 b3b4 e1d1 c2d2 d1e1 d2e2 e1d1 e2d2 d1e1 d2e2 e1d1 e2d2 d1e1 d2c2 e1d1 c2c5 e5d4 c5d5 d4e3 b4b3 a1c1 d3c2 d1e1 e4d6 c1a1 d6c4 a1b1 c2b1 e3b6 b1c2 b6c5 d5e5 c5e3 e5e3 e1d2 c4d2
1.0,d2d3 e5e4 e1d2 b5b4 d2e1 b6b5 d3d4 e4e3 a2a3 b4a3 a1a3 b5b4 c2c3 b4c4 b2b3 c4b5 d4c5 d6e4 b3b4 a5a4 c1e3 e4c5 e3c5 e6e2 d1e2 b5e2 e1e2 c6b5 e2e3 b5c6 e3d4 a6b5 a3a1 b5a6 b1a3 c6b5 a1e1 b5c6 e1e6 a6b6 e6c6 b6c6 b4b5 c6b6 c5b6
1.0,b2b3 d6c4 b3c4 e6d6 c4b5 b6b5 d2d3 a5a4 c1d2 c5c4 d1c1 b5c5 c1b2 c4d3 c2d3 d5d4 b1a3 d6e6 a1c1 c5b6 b2c2 c6b5 c2d1 e5e4 c1c4 e6e5 a3b5 b6b5 c4d4 a6b6 d4d6 b6c5 d3e4 b5b2 d2e3 c5b4 d6b6 b4a3 e3c1 e5b5 b6b5 b2c1 d1c1 a3a2 c1b2 a2b2 b5b2 a4a3 b2a2
0.5,b1c3 d6e4 a2a3 e4c3 d2c3 a5a4 e2e3 c5c4 a1a2 b6c5 d1e2 a6b6 e3e4 d5d4 c1d2 b6a6 a2a1 c5b6 a1d1 e6d6 d2e3 c6e4 e3c1 b6c6 d1d2 a6a5 d2d1 a5a6 d1d2 a6a5 d2d1 a5a6 d1d2 a6a5 d2d1 a5b6 d1d2 d6e6 d2d1 e6d6 d1d2 d6e6 d2d1 e6d6 d1d2 d6e6 d2d1 b6a6 e2d2 d4d3 d2e3 d3c2 d1d2 e6d6 e3e2 d6d2 c1d2 c6d5 e2e3 e4d3 d2c1 d5d6 c1d2 a6a5 d2c1 a5a6 c1d2 a6a5 d2c1 a5a6 c1d2 a6a5 d2c1 d6d5 e3d2 a5b6 d2e3 b6a5 e3d2 a5b6 d2e3 b6a5 e3d2 a5b6 d2e3 b6a6 e3d2 d5d6 b2b3 a4b3 c1b2 d6c5 b2c1 a6a5 c1b2 e5e4 d2c1 e4e3 c1a1 e3e2
1.0,d2d3 d6e4 c1d2 b5b4 d3e4 d5e4 a2a3 e6d6 e2e3 b6b5 a3a4 b5c4 b2b3 d6d2 b3c4 d2d1 e1d1 b4b3 c2b3 a6b6 b1c3 b6a6 c3d5 c6d5 c4d5 a6b6 d5d6 b6a6 d6a6 c5c4 b3c4
